category,headline,authors,link,short_description,date
CRIME,What Rights Should Terrorists Have?,"Jim Moret, Contributor
Chief Correspondent, Inside Edition; Author and Attorney",https://www.huffingtonpost.com/entry/what-rights-should-terror_us_5ba2a515e4b0c2784da3cb6d,"I recognize, as a lawyer, that when you infringe the rights of one citizen you threaten the rights of all citizens. But #2 arguably abandoned and disavowed those rights when he (allegedly) declared war against his people and his country.",2013-04-20
CRIME,Video Released Of Deputy Accidentally Shooting Suspect He Meant To Taser,Alana Horowitz Satlin,https://www.huffingtonpost.com/entry/eric-harris-shooting-taser_n_7049382.html,,2015-04-12
CRIME,‘Execution-Style’ Killing Of 3 Young Men Sparks Outrage (UPDATE),Daniel Marans,https://www.huffingtonpost.com/entry/execution-style-murder-young-muslim-men_us_56d35a51e4b0871f60ebc77a,"Two of the young men were Muslim, but local police do not believe it was a hate crime.",2016-02-28
CRIME,2 People Injured In Indiana School Shooting,Marina Fang,https://www.huffingtonpost.com/entry/indiana-middle-school-active-shooter_us_5b0811c2e4b0802d69ca90f2,"A male student, believed to be the suspect, has been detained, according to police.",2018-05-25
CRIME,Day Care Under Fire After Photo Of Duct-Tape Restraint Surfaces,Sara Gates,https://www.huffingtonpost.com/entry/texas-day-care-investigation-duct-tape-child-photo_n_5518431.html,,2014-06-22
CRIME,New York City's East Village Smolders Morning After Building Explosion (PHOTOS),Hilary Hanson,https://www.huffingtonpost.com/entry/east-village-explosion-morning-after-photos_n_6957420.html,,2015-03-27
CRIME,World's Dumbest Hijack Attempt?,,https://www.huffingtonpost.com/entry/toblerone-hijack_n_5171762.html,,2014-04-18
CRIME,Accused Fake 'Teen Doctor' Malachi Love-Robinson Arrested Again,Dominique Mosbergen,https://www.huffingtonpost.com/entry/malachi-love-robinson-arrested-again_us_56d7e0b2e4b0000de4036dc7,"The 18-year-old is accused of defrauding an 86-year-old woman who he ""treated"" for stomach pain.",2016-03-03
CRIME,Here's What To Know About The Bill Cosby Sexual Assault Retrial,Alanna Vagianos,https://www.huffingtonpost.com/entry/heres-what-to-know-about-the-bill-cosby-sexual-assault-retrial_us_5ac7769fe4b0337ad1e72f11,"The comedian's sexual assault retrial will hold new twists, even for people who have closely followed the case.",2018-04-06
CRIME,Jury Finds Cinemark Theater Chain Not Liable In 2012 Colorado Movie Massacre,"Keith Coffman, Reuters",https://www.huffingtonpost.com/entry/colorado-movie-shooting-jury-cinemark-not-liable_us_573dfed4e4b0aee7b8e95363,"Jurors ruled in favor of Cinemark USA Inc in the lawsuit filed by more than two dozen surviving victims and relatives of the dead, court spokesman Rob McCallum said on Twitter.",2016-05-19
CRIME,New Disney World Ride Catches Fire,Andrew Hart,https://www.huffingtonpost.com/entry/disney-world-train-fire_n_6088630.html,,2014-11-02
CRIME,Craig Hicks Indicted,Alana Horowitz Satlin,https://www.huffingtonpost.com/entry/craig-hicks-indicted-chapel-hill_n_6692980.html,,2015-02-16
CRIME,"Boozing Altitude: JetBlue Pilot Flew Drunk, Blamed Gum For .111 Reading, Feds Say",,https://www.huffingtonpost.com/entry/jetblue-pilot-flew-drunk-blamed-his-gum-for-11-reading-feds_us_57220dd6e4b0f309baefd3b8,151 passengers were aboard.,2016-04-28
CRIME,Louisiana Theater Shooter Identified As John Russel Houser,Simon McCormack,https://www.huffingtonpost.com/entry/louisiana-theater-shooter-identified-as-john-russell-houser_us_55b22ea2e4b0224d8831d388,"Authorities on Friday morning identified the gunman in the Lafayette, Louisiana, theater shooting as a 59-year-old ""drifter",2015-07-24
CRIME,Teen Charged With Raping 7-Year-Old Girl On School Bus,,https://www.huffingtonpost.com/entry/chimacum-rape_n_7724100.html,,2015-07-03
CRIME,'Glad I'm alive': Storm Chaser Periscopes Near Deadly Knife Attack,Nina Golgowski,https://www.huffingtonpost.com/entry/storm-chaser-broadcasts-attack_us_568150bce4b0b958f659dab3,“(You) stop to help somebody and they stab you.”,2015-12-28
CRIME,Marijuana Blamed for Dzhokhar's Alleged Boston Bombings,"Russ Belville, Contributor
Host of The Marijuana Agenda on YouTube, a live weekday news/t...",https://www.huffingtonpost.com/entry/marijuana-blamed-for-dzho_us_5ba2bb68e4b0c2784da52d0a,"Let's see, there are 26.1 million annual tokers, 17 million monthly tokers, and 2 million daily tokers in America. Two of them are alleged terrorists. That's literally, at best, a one-in-a-million risk.",2013-04-20
CRIME,"Tunisian Murder - Causes: Radicalization, Unemployment and Corruption","Frank Vogl, ContributorAuthor, 'Waging War on Corruption - Inside the Movement Fighti...",https://www.huffingtonpost.com/entry/tunisian-murder-causes-ra_b_7688512.html,"Very high youth unemployment in Tunisia, due in part to substantial corruption, as well as increasing activities by radical Islamic groups all contributed, I believe, to influence the mad gunman, 24-year-old Seifeddine Rezgui, to kill 38 people, mainly tourists.",2015-06-30
CRIME,15-Month-Old Twin Girls Die After Being Left Inside Hot Car In Georgia,,https://www.huffingtonpost.com/entry/kids-die-in-hot-car_us_57a43de9e4b056bad215219c,"Temperatures in the area reached above 90 degrees Fahrenheit, with high humidity.",2016-08-05
CRIME,Man Who Intervened In Shooting Of Indian Engineers Delivers Powerful Message Of Hope,,https://www.huffingtonpost.com/entry/ian-grillot-kansas-shooting_us_58b45116e4b060480e0a4c1e,"“I was more than happy to risk my life to save the lives of others,"" said Ian Grillot.",2017-02-27
CRIME,The Mental Illness of Murder,"Sana Syed, Contributoris an Assistant Professor of Neurology at Tufts Medical Center...",https://www.huffingtonpost.com/entry/the-mental-illness-of-mur_b_6009258.html,This unnamed illness that kills without discrimination has become too ingrained on a national level and the lack of responsibility is becoming the crutch of global society.,2014-10-20
CRIME,Muslim Man Beaten Outside Florida Mosque Attended By Orlando Shooter Omar Mateen,,https://www.huffingtonpost.com/entry/muslim-beaten-mosque-orlando_us_57786093e4b0a629c1aa55fd,There was disagreement on whether the attack was racially motivated.,2016-07-03
CRIME,The Cosby Verdict Won’t Fix A Broken Legal System,Angelina Chapin,https://www.huffingtonpost.com/entry/bill-cosby-verdict-legal-system_us_5ae3577ae4b02baed1ba198c,"He was found guilty, but the system is still stacked against victims.",2018-04-27
CRIME,MGM 'Confident' That Police Are Wrong About Las Vegas Shooting Timeline,Carla Herreria,https://www.huffingtonpost.com/entry/mgm-resorts-dispute-las-vegas-shooting-timeline_us_59dd822be4b0b26332e7c94f,"Mandalay Bay's parent company offered its own timeline of events, which differs from the one released by police.",2017-10-11
CRIME,ICE Lawyer Charged With Trying To Defraud Immigrants By Stealing Their Identities,Willa Frej,https://www.huffingtonpost.com/entry/ice-attorney-steal-immigrants-identities_us_5a83e552e4b02b66c51350c1,Raphael A. Sanchez allegedly targeted seven people whose cases were being processed by the agency.,2018-02-14
CRIME,Officer Shot In The Head While Trying To Help Motorist Dies,,https://www.huffingtonpost.com/entry/officer-shot-in-the-head-while-trying-to-help-motorist-dies_us_55db5f50e4b0a40aa3ab9f17,"""Tragically these things happen far too often around the country.""",2015-08-24
CRIME,Charles Manson Gets A New Mug Shot,David Moye,https://www.huffingtonpost.com/entry/charles-manson-new-mugshot_us_5997693ae4b0e8cc855de7a2,The wrinkles on Manson's face make his swastika tattoo stand out.,2017-08-18
CRIME,"Peter Chadwick, California Executive, Arrested On Suspicion Of Murdering Wife, Quee",,https://www.huffingtonpost.com/entry/peter-chadwick-executive-murder-wife-quee_us_5ba2b933e4b0c2784da502e2,"A California businessman is in custody on suspicion of murdering his wife, who has been missing since Wednesday. The couple",2012-10-14
CRIME,Doctors Forced Wrongfully Accused Pregnant Woman To Take Laxatives: Suit,Andy Campbell,https://www.huffingtonpost.com/entry/feds-force-wrongly-accused-laxatives_n_5506707.html,,2014-06-18
CRIME,Video Shows Man Holding Gun Before Allegedly Shooting At Police Officers In Ferguson,Michael McLaughlin,https://www.huffingtonpost.com/entry/st-louis-county-police-release-video-of-man-wounded-by-cops_us_55ca6b5ee4b0923c12be845a,"He's holding a gun, but the video doesn't show him shooting it.",2015-08-11
CRIME,Dad Hits Teacher With Baseball Bat After 'Inappropriate' Texts Sent To Daughter,Andy Campbell,https://www.huffingtonpost.com/entry/dad-hits-teacher-baseball-texts-sent-to-daughter_n_5468998.html,,2014-06-08
CRIME,Boyfriend’s Ex Questioned In Murdered Dentist Case,David Lohr,https://www.huffingtonpost.com/entry/vehicle-used-in-dentists-slaying-allegedly-connected-to-boyfriends-ex_us_55f07ab0e4b03784e2778667,"Police said the woman ""ended a two-year relationship"" with the victim's boyfriend.",2015-09-10
CRIME,2 Skiers Missing After Avalanche In Colorado,,https://www.huffingtonpost.com/entry/skiers-missing-avalanche-colorado_us_5ba2aa44e4b0c2784da3f65f,The skiers were part of a group of seven that were near the top of a ridge on the Twin Lakes side of Independence Pass when,2014-02-16
CRIME,Escaped Convict Richard Matt Killed,Andres Jauregui,https://www.huffingtonpost.com/entry/richard-matt-dead_n_7674626.html,,2015-06-26
CRIME,Teen Attacks Paramedic Who Stopped Ambulance Sex Session,David Moye,https://www.huffingtonpost.com/entry/kyle-hargreaves-ambulance-sex_n_7018212.html,,2015-04-07
CRIME,Grandma Stabbed Her 7-Year-Old Grandson To Death: Cops,Simon McCormack,https://www.huffingtonpost.com/entry/grandma-stabs-grandson-to-death_n_5652952.html,,2014-08-06
CRIME,"Man Fatally Shot Outside Courthouse, Suspect 'A Good Guy,' Girlfriend Says",,https://www.huffingtonpost.com/entry/man-fatally-shot-outside-courthouse-suspect-a-good-guy-girlfriend-says_us_55bfc5b5e4b06363d5a30499,"""I don't know what happened.""",2015-08-03
CRIME,'F**k Muzlim' And 'Terroist' Spray-Painted On Muslim Man's Car,Christopher Mathias,https://www.huffingtonpost.com/entry/muslim-man-car-vandalized_us_577d3fc2e4b0a629c1ab851e,The act of vandalism is the latest in a string of alleged anti-Muslim crimes during the final week of Ramadan.,2016-07-06
CRIME,Berkeley Mayor: Antonio Martin Is Not Michael Brown,Kelly Chen,https://www.huffingtonpost.com/entry/berkeley-mayor-antonio-martin_n_6378966.html,,2014-12-25
CRIME,Maryland Teen Allegedly Sexually Abused Child Since She Was 3,Simon McCormack,https://www.huffingtonpost.com/entry/maryland-teen-sexually-abused-child_us_55e3256de4b0aec9f353945e,"The 17-year-old is charged as an adult with raping the girl, now 9.",2015-08-30
CRIME,"Shooting At High School Prom Leaves 1 Dead, 2 Students Injured",Nina Golgowski,https://www.huffingtonpost.com/entry/shooting-at-high-school-prom_us_571cbb6ae4b0d4d3f7239cea,"The students were leaving Antigo High School when they were wounded by a suspect armed with a rifle, police said.",2016-04-24
CRIME,Survey: Results Suggest Neither Acquittal Nor Death Likely in Jodi Arias Murder Trial,"Tanya Young Williams, Contributor
Crisis Management Expert, University Lecturer, On-Air Legal An...",https://www.huffingtonpost.com/entry/post_us_5ba2bde4e4b0c2784da558a1,"My goal was to attract 1000 respondents to establish a credible level of confidence in the accuracy of the results. However, after one day of people sharing the links via social media and the Huffpost article, the numbers began to swell at a rate of 100 respondents per hour.",2013-03-30
CRIME,DNA From Genealogy Sites Helped Investigators Zero In On 'Golden State Killer' Suspect,Antonia Blumberg,https://www.huffingtonpost.com/entry/dna-genealogy-site-golden-state-killer-suspect_us_5ae25c20e4b04aa23f215823,"Joseph James DeAngelo, 72, was arrested in connection with the string of crimes on Tuesday.",2018-04-27
CRIME,"John Balentine, On Texas Death Row, Has Execution Delayed 3 Times","Reuters, Reuters",https://www.huffingtonpost.com/entry/john-balentine-execution-delayed-texas-death-row_us_5ba2b009e4b0c2784da4529e,The Supreme Court halted the Texas execution last week to give it time to rule on arguments that Balentine had inadequate,2012-08-26
CRIME,"Deputy Brad Garafola, Killed Protecting A Wounded Officer, Gets Hero's Send-Off",David Lohr and Hilary Hanson,https://www.huffingtonpost.com/entry/brad-garafola-funeral-baton-rouge_us_5793cc3fe4b01180b52f39a0,The sheriff's deputy was one of three lawmen killed in an ambush July 17.,2016-07-23
CRIME,"Explosion Levels One Home, Damages Dozens Others",,https://www.huffingtonpost.com/entry/long-grove-home-explosion_n_5218772.html,,2014-04-26
CRIME,Charleston Church Shooter Dylann Roof Pleads Guilty To State Murder Charges,"Harriet McLeod, Reuters",https://www.huffingtonpost.com/entry/charleston-church-shooter-dylann-roof-pleads-guilty-to-state-murder-charges_us_58ebd401e4b0c89f91207102,Roof was charged in state court with murdering nine African-American parishioners as they closed their eyes in prayer at a Bible study session.,2017-04-10
CRIME,"Kaelynne Paez Missing: FBI Seeks Public's Assistance to Locate Herber, California Teen",David Lohr,https://www.huffingtonpost.com/entry/kaelynne-paez-missing-fbi_us_5ba2b683e4b0c2784da4df7c,Anyone with information about Kaelynne Paez’s whereabouts is asked to call Imperial County investigators at 760-339-6324,2012-09-15
CRIME,"Crystal Mangum, Duke Lacrosse Rape Accuser, Found Guilty In Boyfriend's Murder",Andres Jauregui,https://www.huffingtonpost.com/entry/crystal-mangum-duke-rape-murder_us_5ba2c464e4b0c2784da5ef19,"But according to ABC 11 News, prosecutors argued that the woman, who has a ""history of physical violence toward boyfriends",2013-11-23
CRIME,The Isla Vista Shooting: One Flew Under the Cuckoo's Nest,"Dr. Gregory Jantz, Ph.D., ContributorMental Health Expert & Best Selling Author",https://www.huffingtonpost.com/entry/the-isla-vista-shooting-o_b_5410992.html,"I certainly don't want to go back to the days of One Flew Over the Cuckoo's Nest, but I wonder if our well-intentioned desires have swung the mental health pendulum too far.  Would Elliot Rodger or Adam Lanza have revealed their violent intentions during an involuntary mental health hold?",2014-05-31
CRIME,Pregnant Woman Dies After Allegedly Kidnapped By Ex,Michael McLaughlin,https://www.huffingtonpost.com/entry/kidnapped-pregnant-woman-dies_us_55e1fac9e4b0b7a963393d8a,It's believed that Ryan Arnold shot his ex-girlfriend before dumping her body from a moving car while police chased him.,2015-08-29
CRIME,Newlywed Couple Crash Cars Into Each Other In Fatal Accident,Simon McCormack,https://www.huffingtonpost.com/entry/newlyweds-die-crash-into-each-other_n_5461816.html,,2014-06-07
CRIME,Man Arrested After 5-Year-Old Son Fatally Shoots Himself With Gun Left In Glove Box,David Moye,https://www.huffingtonpost.com/entry/jamal-todman-negligence-son-gun_us_5a3ac313e4b0b0e5a79f3cc4,The suspect faces a criminal negligence charge.,2017-12-20
CRIME,Man Says Horror Dental Procedure Left Him Toothless,Nina Golgowski,https://www.huffingtonpost.com/entry/dentist-removes-all-teeth_us_570b9c8ce4b0885fb50d6fd6,"""I just want to get teeth in my head and go on.""",2016-04-11
CRIME,Dead Vermont Women Were Related To Social Worker Shooter,,https://www.huffingtonpost.com/entry/dead-vermont-women-were-related-to-social-worker-shooter_us_55c68730e4b0f73b20b99533,"""Both doors were wide open, and I walked into the living room, and that's where I saw my mom dead.""",2015-08-08
CRIME,Conviction Stays For Man Who Killed Abortion Doctor,,https://www.huffingtonpost.com/entry/scott-roeder-kills-doctor_n_6049258.html,,2014-10-26
CRIME,Man Who Killed Exchange Student Sentenced,Simon McCormack,https://www.huffingtonpost.com/entry/markus-kaarma-sentenced_n_6671720.html,,2015-02-12
CRIME,Killing Tsarnaev Part Two: 'Friends' of Jahar Rally to Save His Life,"Phillip Martin, ContributorSr. Investigative Reporter WGBH Radio Boston; Sr. Fellow Schus...",https://www.huffingtonpost.com/entry/killing-tsarnaev-part-two_b_7164454.html,"On some social media pages a parallel world exists, where Dzhokhar Tsarnaev is viewed as innocent, not guilty; A parallel world where Tsarnaev has achieved near rock star fame",2015-04-29
CRIME,5 Identity Theft Facts That Will Terrify You,"Adam Levin, ContributorAuthor of Swiped. Former Director New Jersey Division of Consu...",https://www.huffingtonpost.com/entry/5-identity-theft-facts-th_b_7347248.html,"Identity theft was the number one consumer complaint at the Federal Trade Commission last year. So far in 2015, the data breach problem that drives so many identity-related crimes has gotten worse. The massive compromises at Anthem and Premera alone put a combined 91 million records in harm's way.",2015-05-21
CRIME,Judge Orders Chicago Police To Release Graphic Video Of Officer Shooting Teen 16 Times,Michael McLaughlin,https://www.huffingtonpost.com/entry/chicago-police-shooting-video_us_564e4166e4b0879a5b0a4343,The teen's mom is worried the footage is so horrific it will start riots.,2015-11-19
CRIME,Cop In Ferguson Suspended For Video Of Bigoted Views,Michael McLaughlin,https://www.huffingtonpost.com/entry/dan-page-st-louis-police-officer_n_5702000.html,,2014-08-23
CRIME,"Texas Cop Accused Of Staging His Own Death, May Be In Mexico",Andy Campbell,https://www.huffingtonpost.com/entry/texas-cop-accusing-of-staging-his-own-death-may-be-in-mexico_us_5904d0f7e4b0bb2d086ee6a1,"Officer Coleman Martin bought a raft, cement blocks and rope - but it's all a ruse, police say.",2017-04-29
CRIME,Man Pulls Gun On 6 Kids For Damaging Donald Trump Sign: Police,David Moye,https://www.huffingtonpost.com/entry/michael-kubek-trump-sign_us_581cde7ae4b0aac624845080,The suspect admitted he had no real proof that they destroyed the sign.,2016-11-04
CRIME,The $11-Million Manhunt,,https://www.huffingtonpost.com/entry/eric-frein-manhunt-cost_n_6162880.html,,2014-11-15
CRIME,Feds Accuse Man Of Plotting To Blow Up Government Buildings And Rob Armored Cars,"Reuters, Reuters",https://www.huffingtonpost.com/entry/robert-talbott-jr-arrested-texas-fbi_us_5ba2b445e4b0c2784da4b19b,A detention hearing for Talbot is scheduled for Tuesday. (Reporting by Andrea Lorenz; Writing by Jon Herskovitz; Editing,2014-03-29
CRIME,Dying Priest Who Killed Nun Can't Leave Prison,,https://www.huffingtonpost.com/entry/gerald-robinson-priest-killed-nun_n_5555903.html,,2014-07-03
CRIME,World's Most Elusive Fugitive Has Now Been On The Lam For 60 Years,Lee Moran,https://www.huffingtonpost.com/entry/john-patrick-hannan-fugitive-60-years_us_568a4fb3e4b0b958f65c0dcb,John Patrick Hannan escaped from prison in England in December 1955.,2016-01-04
CRIME,Woman Killed When Giant Tree Topples On California Wedding Party,Mary Papenfuss,https://www.huffingtonpost.com/entry/wedding-tree-death_us_5857fe36e4b08debb789eb09,The tragedy may be linked to drought in the area followed by recent heavy rains.,2016-12-19
CRIME,"Ghost Hunting Couple, Reno Man All Died From Gunshot Wounds: Cops",,https://www.huffingtonpost.com/entry/debra-mark-constantino-dead_us_5606b53de4b0dd850307c6a6,"Debra and Mark Constantino had appeared on the Travel Channel's series, ""Ghost Adventures.""",2015-09-26
CRIME,Kosciuszko Park Gang Rape: 2 Women Allegedly Assaulted By Nearly A Dozen Juveniles,,https://www.huffingtonpost.com/entry/kosciuszko-park-gang-rape_us_5ba2c739e4b0c2784da6367b,"""Take accountability, step up, turn yourselves in so that way we could move forward,"" Cpl. Jamaine Crawford, of Wilmington",2013-09-01
CRIME,"4 Dead, Dozens Injured After Car Plows Into OSU Homecoming Crowd","Justin Juozapavicius, AP",https://www.huffingtonpost.com/entry/3-dead-22-injured-after-car-plows-into-osu-homecoming-crowd_us_562bc0dde4b0aac0b8fd1e87,The driver was allegedly drunk.,2015-10-24
CRIME,Woman Stabs Husband With Scissors After He Drinks Her Beer: Police,David Moye,https://www.huffingtonpost.com/entry/tracey-lee-giffin-beer-stabbing_us_57bf38dae4b02673444f1037,"""If I still had arrest powers, I would have arrested them quite a few times,” a neighbor said.",2016-08-25
CRIME,"John Thompson Sexually Assaults 7-Year-Old Girl, Says She Forced Him To Do It",,https://www.huffingtonpost.com/entry/john-thompson-sexually-assault-girl-sues-victim_us_5ba2c463e4b0c2784da5eec1,"The former brewery employee claimed that the young child ""flirted"" with him before pushing him down and forcing her tongue",2012-10-30
CRIME,2-Year-Old Killed In Chicago Shooting Streamed On Facebook Live,Carla Herreria,https://www.huffingtonpost.com/entry/valentines-day-chicago-shooting-facebook-live_us_58a4d871e4b045cd34be71de,"In four days, three children in Chicago have died because of shootings.",2017-02-16
CRIME,Jerry Sandusky On Suicide Watch After Guilty Verdict In Molestation Trial,,https://www.huffingtonpost.com/entry/jerry-sandusky-on-suicide-watch_us_5ba2b71be4b0c2784da4ea86,Those close to him -- even his attorney -- were almost certain the man would be convicted. Sandusky was convicted Friday,2012-06-23
CRIME,Texas Massacre Suspect Had Previous Domestic Violence Arrest,Andy Campbell,https://www.huffingtonpost.com/entry/ron-lee-haskell-domestic-violence_n_5575662.html,,2014-07-10
